order_id;return_comment;return_comment_date
300110529;addressee unknown;03.07.2015
293575959;addressee unknown;06.07.2015
301174702;addressee unknown;06.07.2015
298511511;addressee unknown;06.07.2015
297483257;addressee unknown;06.07.2015
291273399;addressee unknown;06.07.2015
300867074;addressee unknown;06.07.2015
299557386;addressee unknown;06.07.2015
298764018;addressee unknown;06.07.2015
298515887;addressee unknown;06.07.2015
299068198;addressee unknown;06.07.2015
291274532;addressee unknown;07.07.2015
302008268;addressee unknown;07.07.2015
302881432;addressee unknown;07.07.2015
298545884;addressee unknown;07.07.2015
296237030;addressee unknown;07.07.2015
294041761;addressee unknown;07.07.2015
298542872;addressee unknown;07.07.2015
301212264;addressee unknown;07.07.2015
291272654;addressee has moved;07.07.2015
299180951;addressee unknown;07.07.2015
301258428;addressee unknown;07.07.2015
301157806;addressee unknown;07.07.2015
294125572;addressee unknown;07.07.2015
291274033;addressee unknown;07.07.2015
302784477;addressee unknown;07.07.2015
297956835;addressee unknown;07.07.2015
300563137;addressee unknown;08.07.2015
277508857;addressee has moved;08.07.2015
295283099;addressee unknown;08.07.2015
294218844;addressee unknown;08.07.2015
291268443;addressee unknown;08.07.2015
291282754;addressee unknown;08.07.2015
291288227;addressee unknown;08.07.2015
303228136;addressee unknown;08.07.2015
291289896;addressee unknown;08.07.2015
289539258;addressee unknown;08.07.2015
300335102;addressee unknown;08.07.2015
303184619;addressee has moved;08.07.2015
291288284;addressee unknown;08.07.2015
303203772;addressee unknown;08.07.2015
300335102;addressee unknown;08.07.2015
291289793;addressee has moved;09.07.2015
291265211;addressee has moved;09.07.2015
302006000;addressee has moved;09.07.2015
301609396;addressee unknown;09.07.2015
291285819;addressee unknown;09.07.2015
291262224;addressee unknown;09.07.2015
301289380;addressee unknown;09.07.2015
301289416;addressee unknown;09.07.2015
301863074;addressee unknown;09.07.2015
303711698;addressee unknown;09.07.2015
303424339;addressee unknown;10.07.2015
291272391;addressee unknown;10.07.2015
304410039;addressee unknown;10.07.2015
291287950;addressee unknown;10.07.2015
304405481;addressee unknown;10.07.2015
303639587;addressee unknown;10.07.2015
291286041;addressee unknown;10.07.2015
304606427;addressee unknown;10.07.2015
303714120;addressee unknown;10.07.2015
301550702;addressee unknown;10.07.2015
291284578;addressee unknown;13.07.2015
304912403;addressee unknown;13.07.2015
291296184;addressee unknown;13.07.2015
303453056;addressee unknown;13.07.2015
303331991;addressee unknown;13.07.2015
296090368;addressee has moved;13.07.2015
304980019;addressee unknown;13.07.2015
299533521;addressee unknown;13.07.2015
297315257;addressee unknown;13.07.2015
299995437;addressee unknown;15.07.2015
300415120;addressee unknown;16.07.2015
304912403;addressee unknown;18.07.2015
298092197;addressee unknown;20.07.2015
304996806;addressee unknown;21.07.2015
304429993;addressee unknown;22.07.2015
305325154;addressee unknown;25.07.2015
297303095;addressee unknown;01.08.2015
304831123;addressee unknown;15.07.2015
304957460;addressee unknown;15.07.2015
304426158;addressee unknown;15.07.2015
