"02-Jun-2015","BE","Repeat Order","Returned","423.45"
"16-Jun-2015","DE","First Order","Kept","754.35"
"08-Jul-2015","DE","Repeat Order Follow-on","Returned","344.64"
"20-Aug-2015","AT","Repeat Order","Returned","532.60"
"10-Apr-2015","DE","First Order","Returned","3,141.30"
"22-Jun-2015","DE","Repeat Order","Returned","449.70"
"06-Jul-2015","DE","First Order","Returned","4,044.64"
"27-Mai-2015","BE","First Order","Returned","772.30"
"25-Jun-2015","DE","First Order","Returned","3,785.65"
"14-Jul-2015","DE","Repeat Order","Returned","1,097.30"
"27-Mai-2015","NL","First Order","Returned","804.34"
"21-Apr-2015","DE","First Order","Returned","2,976.70"
"29-Jul-2015","DE","First Order","Returned","2,262.87"
"03-Jul-2015","DE","Outfittery Club Order","Returned","3,603.17"
"02-Jun-2015","AT","First Order","Returned","780.45"
"09-Jun-2015","DE","Outfittery Club Order","Returned","334.60"
"03-Jun-2015","DE","First Order","Returned","1,138.90"
"07-Jul-2015","DE","Repeat Order Follow-on","Returned","344.59"
"10-Aug-2015","DE","Repeat Order Follow-on","Returned","339.80"
"12-Jun-2015","DE","Outfittery Club Order","Returned","1,756.44"
"18-Aug-2015","DE","First Order","Returned","6,692.68"
"20-Apr-2015","DE","Repeat Order","Returned","644.45"
"24-Feb-2015","CH","Outfittery Club Order","Returned","1,038.90"
"08-Sep-2015","DE","Outfittery Club Order","Returned","2,534.53"
"26-Feb-2015","CH","Outfittery Club Order","Returned","1,087.73"
"21-Jul-2015","CH","Repeat Order","Kept","985.32"
"27-Mai-2015","DE","Outfittery Club Order","Returned","5,144.02"
"09-Apr-2015","DE","First Order","Returned","1,873.70"
"24-Sep-2015","DE","Repeat Order","Sent","434.64"
"08-Mai-2015","AT","Repeat Order Follow-on","","299.95"
"10-Sep-2015","CH","Outfittery Club Order","Returned","1,024.13"
"03-Aug-2015","DE","First Order Follow-on","","89.95"
"28-Mai-2015","AT","Outfittery Club Order","Returned","1,359.84"
"05-Aug-2015","DE","Repeat Order","Returned","1,464.70"
"19-Jun-2015","AT","First Order","Returned","991.50"
"17-Feb-2015","DE","First Order","Returned","832.10"
"15-Jul-2015","DE","First Order","Returned","4,440.90"
"09-Mrz-2015","DE","First Order","Returned","910.44"
"23-Mrz-2015","DE","First Order","Returned","2,821.39"
"23-Feb-2015","DE","Outfittery Club Order","Returned","2,587.05"
"02-Jan-2015","NL","First Order","Kept","1,162.15"
"16-Jul-2015","DE","Repeat Order","Returned","1,094.25"
"01-Jul-2015","BE","First Order","Returned","659.50"
"08-Jun-2015","DE","First Order","Returned","441.60"
"31-Jul-2015","BE","First Order","Returned","584.40"
"30-Apr-2015","DE","Repeat Order","Returned","1,381.83"
"10-Jul-2015","DE","First Order","Returned","1,451.74"
"27-Mai-2015","DE","Repeat Order Follow-on","Returned","299.85"
"02-Sep-2015","DE","Repeat Order","Returned","692.40"
"15-Mai-2015","NL","First Order","Returned","459.80"
"13-Mrz-2015","DE","Outfittery Club Order","Returned","562.60"
"21-Mai-2015","AT","First Order","Returned","669.25"
"07-Sep-2015","DE","First Order","Returned","7,451.75"
"18-Mrz-2015","DE","First Order","Kept","996.25"
"28-Apr-2015","DE","First Order Follow-on","Returned","190.90"
"08-Jul-2015","NL","First Order","Returned","562.45"
"25-Aug-2015","DE","Repeat Order","Kept","959.35"
"11-Dez-2014","CH","First Order","Returned","759.36"
"13-Apr-2015","DE","First Order","Returned","2,561.25"
"29-Jun-2015","DE","Outfittery Club Order","Returned","4,818.41"
"25-Aug-2015","DE","First Order","Returned","7,028.17"
